"","S2: mind=0.05","S3: mind=0.10","M0: MAF=none","M1: MAF=0.01","M2: MAF=0.03","M4: MAF=0.10","G2: GENO=0.02","G1: GENO=0.10","G0: GENO=0.20","Gnone: GENO=none","L_0.5: LD<0.5","L_0.8: LD<0.8","L100: 100/10/0.2","Lnone: no LD","rice_pruned","rice_pruned2","rice_pruned3"
"S2: mind=0.05",1,0.664175023914453,0.707777307504858,0.695339378951935,0.696546314550768,0.764196038726101,0.707777307504858,0.758858556129058,0.695339378951935,0.684601904205044,0.696546314550768,0.675381036081462,0.757174475321642,0.675381036081462,0.684601904205044,0.696546314550768,0.708927983208285
"S3: mind=0.10",0.664175023914453,1,0.577029784206582,0.577029784206582,0.577029784206582,0.638312254803278,0.577029784206582,0.656430140257237,0.577029784206582,0.577029784206582,0.577029784206582,0.577029784206582,0.600029965029414,0.577029784206582,0.577029784206582,0.577029784206582,0.577029784206582
"M0: MAF=none",0.707777307504858,0.577029784206582,1,0.98990900652331,0.969574847941304,0.843843108042434,0.989672883746184,0.852783489954244,0.980593390779202,0.979884978076171,0.959262022316138,0.961951579727029,0.848873736902102,0.961951579727029,0.979884978076171,0.959262022316138,0.979514341345052
"M1: MAF=0.01",0.695339378951935,0.577029784206582,0.98990900652331,1,0.979641678814691,0.851129596765801,0.979578136625324,0.860089207379398,0.990677226466918,0.98997061992729,0.969326359067167,0.96954356082675,0.839163660887093,0.96954356082675,0.98997061992729,0.969326359067167,0.969356588319891
"M2: MAF=0.03",0.696546314550768,0.577029784206582,0.969574847941304,0.979641678814691,1,0.869922541344592,0.961752412671244,0.862215036669893,0.970330629182968,0.989672883746184,0.989672883746184,0.971722195618059,0.837096266628517,0.971722195618059,0.989672883746184,0.989672883746184,0.989848034443888
"M4: MAF=0.10",0.764196038726101,0.638312254803278,0.843843108042434,0.851129596765801,0.869922541344592,1,0.853791473138226,0.982287589286241,0.842202822551686,0.860816589833872,0.879887104653259,0.880479026043692,0.767117389535837,0.880479026043692,0.860816589833872,0.879887104653259,0.862424931332856
"G2: GENO=0.02",0.707777307504858,0.577029784206582,0.989672883746184,0.979578136625324,0.961752412671244,0.853791473138226,1,0.862749743652611,0.970266562835386,0.969572148527098,0.969572148527098,0.97228101218711,0.857557291805487,0.97228101218711,0.969572148527098,0.969572148527098,0.971658927787081
"G1: GENO=0.10",0.758858556129058,0.656430140257237,0.852783489954244,0.860089207379398,0.862215036669893,0.982287589286241,0.862749743652611,1,0.851156070437365,0.869776814786311,0.869776814786311,0.889476961607642,0.759691917255579,0.889476961607642,0.869776814786311,0.869776814786311,0.854653576968253
"G0: GENO=0.20",0.695339378951935,0.577029784206582,0.980593390779202,0.990677226466918,0.970330629182968,0.842202822551686,0.970266562835386,0.851156070437365,1,0.980654424365448,0.960019344474112,0.960254347106734,0.848173657075927,0.960254347106734,0.980654424365448,0.960019344474112,0.959972467870651
"Gnone: GENO=none",0.684601904205044,0.577029784206582,0.979884978076171,0.98997061992729,0.989672883746184,0.860816589833872,0.969572148527098,0.869776814786311,0.980654424365448,1,0.97936066341087,0.979560710306233,0.829573611294662,0.979560710306233,1,0.97936066341087,0.979465483208484
"L_0.5: LD<0.5",0.696546314550768,0.577029784206582,0.959262022316138,0.969326359067167,0.989672883746184,0.879887104653259,0.969572148527098,0.869776814786311,0.960019344474112,0.97936066341087,1,0.979560710306233,0.845779088484694,0.979560710306233,0.97936066341087,1,0.979465483208484
"L_0.8: LD<0.8",0.675381036081462,0.577029784206582,0.961951579727029,0.96954356082675,0.971722195618059,0.880479026043692,0.97228101218711,0.889476961607642,0.960254347106734,0.979560710306233,0.979560710306233,1,0.830923305083893,1,0.979560710306233,0.979560710306233,0.963928250359027
"L100: 100/10/0.2",0.757174475321642,0.600029965029414,0.848873736902102,0.839163660887093,0.837096266628517,0.767117389535837,0.857557291805487,0.759691917255579,0.848173657075927,0.829573611294662,0.845779088484694,0.830923305083893,1,0.830923305083893,0.829573611294662,0.845779088484694,0.847224660500119
"Lnone: no LD",0.675381036081462,0.577029784206582,0.961951579727029,0.96954356082675,0.971722195618059,0.880479026043692,0.97228101218711,0.889476961607642,0.960254347106734,0.979560710306233,0.979560710306233,1,0.830923305083893,1,0.979560710306233,0.979560710306233,0.963928250359027
"rice_pruned",0.684601904205044,0.577029784206582,0.979884978076171,0.98997061992729,0.989672883746184,0.860816589833872,0.969572148527098,0.869776814786311,0.980654424365448,1,0.97936066341087,0.979560710306233,0.829573611294662,0.979560710306233,1,0.980712072231167,0.979465483208484
"rice_pruned2",0.696546314550768,0.577029784206582,0.959262022316138,0.969326359067167,0.989672883746184,0.879887104653259,0.969572148527098,0.869776814786311,0.960019344474112,0.97936066341087,1,0.979560710306233,0.845779088484694,0.979560710306233,0.980712072231167,1,0.979465483208483
"rice_pruned3",0.708927983208285,0.577029784206582,0.979514341345052,0.969356588319891,0.989848034443888,0.862424931332856,0.971658927787081,0.854653576968253,0.959972467870651,0.979465483208484,0.979465483208484,0.963928250359027,0.847224660500119,0.963928250359027,0.979465483208484,0.979465483208483,1
